Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
780; 6.498; 6.409; 0.0006; 0.6651; 0.9218; 8887.365842820203;
790; 6.494; 6.41; 0.0006; 0.7016; 0.9307; 8801.57957485178;
800; 6.488; 6.407; 0.0006; 0.843; 0.9285; 8823.046086900476;
810; 6.499; 6.411; 0.0006; 0.7618; 0.9157; 8946.145504072012;
820; 6.548; 6.463; 0.0006; 0.9052; 0.9144; 8959.037998500211;
830; 6.534; 6.445; 0.0005999; 0.9223; 0.9175; 8929.092787909563;
840; 6.48; 6.402; 0.0005999; 0.8276; 0.9193; 8911.099530166739;
850; 6.505; 6.405; 0.0005999; 0.7527; 0.9321; 8788.618899460094;
860; 6.5; 6.398; 0.0005999; 0.6836; 0.9234; 8871.150048538677;
870; 6.469; 6.374; 0.0005999; 0.7164; 0.9207; 8897.291527828847;
880; 6.467; 6.379; 0.0005999; 1.114; 0.9312; 8797.203299642042;
890; 6.485; 6.395; 0.0005999; 0.8119; 0.9246; 8859.80879788807;
900; 6.475; 6.381; 0.0005999; 0.7694; 0.9267; 8840.162007750894;
910; 6.457; 6.366; 0.0005998; 0.7049; 0.9226; 8879.297581225776;
920; 6.469; 6.378; 0.0005998; 0.8589; 0.9279; 8828.069561401413;
930; 6.443; 6.353; 0.0005998; 0.6703; 0.9222; 8883.165669974438;
940; 6.434; 6.338; 0.0005998; 0.7651; 0.925; 8856.264609468233;
950; 6.461; 6.362; 0.0005998; 0.7729; 0.9357; 8754.785004946898;
960; 6.468; 6.372; 0.0005998; 1.037; 0.9232; 8873.408951054875;
970; 6.437; 6.333; 0.0005997; 0.6343; 0.9297; 8811.877138518583;
980; 6.442; 6.328; 0.0005997; 0.7155; 0.919; 8913.672491642072;
990; 6.405; 6.302; 0.0005997; 0.6589; 0.9135; 8967.52805388283;
1000; 6.392; 6.298; 0.0005997; 1.235; 0.9209; 8895.621505509967;
1010; 6.509; 6.421; 0.0005997; 0.7891; 0.9177; 8926.928369687806;
1020; 6.466; 6.369; 0.0005996; 0.7781; 0.9311; 8797.908347424775;
1030; 6.473; 6.352; 0.0005996; 0.6568; 0.921; 8894.299753126943;
1040; 6.425; 6.323; 0.0005996; 0.7065; 0.9272; 8834.804449525267;
1050; 6.413; 6.308; 0.0005996; 0.7213; 0.9213; 8892.191289157578;
1060; 6.425; 6.329; 0.0005995; 0.6625; 0.9133; 8969.64196028371;
1070; 6.416; 6.324; 0.0005995; 0.8265; 0.9245; 8861.058617793275;
1080; 6.455; 6.353; 0.0005995; 1.32; 0.9204; 8900.432867922114;
1090; 6.46; 6.356; 0.0005994; 0.7912; 0.9328; 8782.582740048652;
1100; 6.416; 6.307; 0.0005994; 0.8534; 0.9274; 8833.087405556455;
1110; 6.38; 6.283; 0.0005994; 1.171; 0.9249; 8857.068197366678;
1120; 6.384; 6.275; 0.0005994; 0.7613; 0.9278; 8829.169776257473;
1130; 6.361; 6.266; 0.0005993; 0.7417; 0.931; 8798.836569841169;
1140; 6.347; 6.255; 0.0005993; 0.6261; 0.9337; 8773.464502562989;
1150; 6.348; 6.253; 0.0005993; 0.6285; 0.9295; 8813.504558766079;
1160; 6.351; 6.255; 0.0005992; 0.6885; 0.927; 8836.742603736715;
1170; 6.37; 6.291; 0.0005992; 1.228; 0.9295; 8813.226498567712;
1180; 6.466; 6.375; 0.0005991; 0.8063; 0.9474; 8646.954773515254;
1190; 6.432; 6.318; 0.0005991; 0.8506; 0.9254; 8852.520261115267;
1200; 6.409; 6.303; 0.0005991; 0.8455; 0.9322; 8787.70856401457;
1210; 6.574; 6.467; 0.000599; 0.7852; 0.9354; 8758.152425639253;
1220; 6.447; 6.36; 0.000599; 1.484; 0.9323; 8786.710783314635;
1230; 6.38; 6.278; 0.000599; 0.8407; 0.9273; 8834.69541101445;
1240; 6.369; 6.252; 0.0005989; 0.6627; 0.9266; 8840.776143719797;
