Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
0; 4.327; 4.336; 0.001; 0.0; 0.8538; 299.82361553035327;
100; 2.97; 3.068; 0.001; 0.0; 0.5967; 429.04863120956475;
200; 2.658; 2.801; 0.001; 0.0; 0.5913; 432.90909222858255;
300; 2.512; 2.642; 0.001; 0.0; 0.6123; 418.1182274066465;
400; 2.455; 2.611; 0.001; 0.0; 0.5993; 427.16798063676066;
500; 2.389; 2.58; 0.001; 0.0; 0.6007; 426.18611585206116;
600; 2.348; 2.543; 0.001; 0.0; 0.6537; 391.59060262924777;
700; 2.381; 2.457; 0.001; 0.0; 0.6063; 422.219356766768;
800; 2.362; 2.443; 0.001; 0.0; 0.6662; 384.26133190375697;
900; 2.362; 2.406; 0.001; 0.0; 0.5931; 431.6192604753134;
1000; 2.37; 2.409; 0.001; 0.0; 0.6663; 384.2298433010202;
1100; 2.356; 2.381; 0.001; 0.0; 0.5966; 429.07589196516057;
1200; 2.343; 2.368; 0.001; 0.0; 0.5995; 427.0561888917216;
1300; 2.33; 2.347; 0.001; 0.0; 0.5966; 429.07040524534824;
1400; 2.311; 2.346; 0.001; 0.0; 0.5967; 429.0474311301205;
1500; 2.298; 2.33; 0.001; 0.0; 0.5995; 427.03478863655255;
1600; 2.302; 2.337; 0.001; 0.0; 0.5943; 430.73898082068683;
1700; 2.333; 2.381; 0.001; 0.0; 0.59; 433.8901274747584;
1800; 2.289; 2.263; 0.001; 0.0; 0.6025; 424.88536376993216;
1900; 2.286; 2.27; 0.001; 0.0; 0.5907; 433.40132885189246;
2000; 2.264; 2.254; 0.001; 0.0; 0.6089; 420.4192062659873;
2100; 2.281; 2.275; 0.001; 0.0; 0.5971; 428.7399178969283;
2200; 2.239; 2.239; 0.001; 0.0; 0.6935; 369.11840755520234;
2300; 2.256; 2.236; 0.001; 0.0; 0.5905; 433.5490256327845;
2400; 2.254; 2.253; 0.001; 0.0; 0.6954; 368.1564211254649;
2500; 2.257; 2.267; 0.001; 0.0; 0.5949; 430.3291583238617;
2600; 2.251; 2.251; 0.001; 0.0; 0.6051; 423.04412221271394;
2700; 2.244; 2.258; 0.001; 0.0; 0.6948; 368.44913012744405;
2800; 2.192; 2.225; 0.001; 0.0; 0.5925; 432.0351955952394;
2900; 2.16; 2.206; 0.001; 0.0; 0.6053; 422.92681528070347;
3000; 2.162; 2.205; 0.001; 0.0; 0.5952; 430.0738887587142;
