Step,Train_Loss,Val_Loss
0,4.30880880355835,4.307474136352539
200,2.662757158279419,2.686997175216675
400,2.4750185012817383,2.464672803878784
600,2.391763687133789,2.3798937797546387
800,2.309196710586548,2.3141345977783203
1000,2.2634308338165283,2.280824899673462
1200,2.2456276416778564,2.2599499225616455
1400,2.2027077674865723,2.2306060791015625
1600,2.1739723682403564,2.2123618125915527
1800,2.156773328781128,2.1970512866973877
2000,2.1602561473846436,2.161789655685425
2200,2.139545202255249,2.1790502071380615
2400,2.111074209213257,2.1566002368927
2600,2.0994040966033936,2.1495070457458496
2800,2.0887720584869385,2.1305010318756104
3000,2.0709264278411865,2.1213865280151367
3200,2.070620059967041,2.133822202682495
3400,2.0548758506774902,2.0919485092163086
3600,2.0467374324798584,2.1092922687530518
3800,2.0382332801818848,2.107283592224121
4000,2.027869462966919,2.0925168991088867
4200,2.0245583057403564,2.097735643386841
4400,2.0267691612243652,2.0892457962036133
4600,2.004619836807251,2.0949277877807617
4800,2.010308265686035,2.089144706726074
5000,1.982816219329834,2.061075210571289
5200,1.9735794067382812,2.0804429054260254
5400,1.992167353630066,2.079319715499878
5600,1.9914318323135376,2.0733678340911865
5800,1.9693130254745483,2.0644142627716064
6000,1.9750375747680664,2.051264762878418
6200,1.9656753540039062,2.0652084350585938
6400,1.9636220932006836,2.0621490478515625
6600,1.948014497756958,2.0471696853637695
6800,1.9603962898254395,2.0691564083099365
7000,1.9480210542678833,2.0553786754608154
7200,1.936195731163025,2.0562117099761963
7400,1.9427275657653809,2.0497543811798096
7600,1.9440194368362427,2.0756118297576904
7800,1.9357653856277466,2.039884090423584
8000,1.9247757196426392,2.0436112880706787
8200,1.9398765563964844,2.052760601043701
8400,1.913658857345581,2.0197865962982178
8600,1.9185813665390015,2.0310354232788086
8800,1.9089149236679077,2.047318696975708
9000,1.9120209217071533,2.059440851211548
9200,1.9211467504501343,2.0294158458709717
9400,1.9097566604614258,2.0259101390838623
9600,1.9060087203979492,2.0224621295928955
9800,1.90915846824646,2.0293595790863037
10000,1.8979910612106323,2.0148301124572754
10200,1.9062190055847168,2.0428361892700195
10400,1.8963890075683594,2.0361435413360596
10600,1.9048755168914795,2.0170998573303223
10800,1.9001904726028442,2.034113645553589
11000,1.885791301727295,2.0072782039642334
11200,1.8942335844039917,2.0239360332489014
11400,1.8943818807601929,2.0118415355682373
11600,1.8798260688781738,2.008085250854492
11800,1.8998123407363892,2.00334095954895
12000,1.8849977254867554,2.0202271938323975
12200,1.8890652656555176,2.0114195346832275
12400,1.869579792022705,1.994997501373291
12600,1.8831160068511963,2.002650499343872
12800,1.8699638843536377,2.008211612701416
13000,1.8607105016708374,2.0009093284606934
13200,1.8805279731750488,2.0021698474884033
13400,1.863743543624878,2.000769853591919
13600,1.8766427040100098,2.0111422538757324
13800,1.8588742017745972,2.0056955814361572
14000,1.8781400918960571,2.013400077819824
14200,1.8620527982711792,2.0022754669189453
14400,1.8806251287460327,2.0137710571289062
14600,1.8574607372283936,2.001540422439575
14800,1.8591032028198242,1.9860490560531616
15000,1.8652856349945068,2.002108097076416
15200,1.866982102394104,1.984002947807312
15400,1.8473248481750488,1.9822741746902466
15600,1.8753987550735474,2.007972002029419
15800,1.8746905326843262,1.9763919115066528
16000,1.8726723194122314,2.000230073928833
16200,1.848244309425354,1.9818987846374512
16400,1.844276785850525,2.002612829208374
16600,1.8432508707046509,1.98431396484375
16800,1.8520032167434692,1.9883606433868408
17000,1.8481656312942505,1.9958871603012085
17200,1.8505642414093018,1.9869415760040283
17400,1.8597688674926758,1.9913920164108276
17600,1.8610514402389526,1.9819705486297607
17800,1.8519084453582764,1.983180284500122
18000,1.851707100868225,1.9841389656066895
18200,1.8396528959274292,1.9795150756835938
18400,1.867673635482788,1.9897042512893677
18600,1.831418514251709,1.9643646478652954
18800,1.8435983657836914,1.982654094696045
19000,1.8319578170776367,1.9889544248580933
19200,1.8371630907058716,1.9863624572753906
19400,1.8400824069976807,1.9950405359268188
19600,1.8332666158676147,1.9838013648986816
19800,1.8347043991088867,1.9760966300964355
19999,1.8312242031097412,1.9906643629074097
