Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
0; 4.295; 4.336; 0.001; 0.0; 0.58; 441.4096703471983;
100; 3.034; 3.068; 0.001; 0.0; 0.3038; 842.7889867931311;
200; 2.712; 2.801; 0.001; 0.0; 0.3034; 843.6438652579508;
300; 2.457; 2.642; 0.001; 0.0; 0.3053; 838.4893754094866;
400; 2.463; 2.611; 0.001; 0.0; 0.2991; 855.7655116899057;
500; 2.236; 2.58; 0.001; 0.0; 0.2999; 853.6102515098781;
600; 2.348; 2.543; 0.001; 0.0; 0.3341; 766.2513052240361;
700; 2.462; 2.457; 0.001; 0.0; 0.3017; 848.610539526782;
800; 2.34; 2.443; 0.001; 0.0; 0.3167; 808.4413012559453;
900; 2.148; 2.406; 0.001; 0.0; 0.3206; 798.5995295013652;
1000; 2.183; 2.409; 0.001; 0.0; 0.3152; 812.0590449886027;
1100; 2.07; 2.381; 0.001; 0.0; 0.321; 797.5211657601409;
1200; 2.259; 2.368; 0.001; 0.0; 0.3029; 845.1239608536388;
1300; 2.342; 2.347; 0.001; 0.0; 0.3019; 847.8653954576969;
1400; 2.21; 2.346; 0.001; 0.0; 0.3411; 750.5372272794312;
1500; 2.379; 2.33; 0.001; 0.0; 0.3023; 846.7881929027766;
1600; 1.958; 2.337; 0.001; 0.0; 0.3004; 852.1645533353915;
1700; 2.015; 2.381; 0.001; 0.0; 0.2988; 856.7487774032036;
1800; 2.25; 2.263; 0.001; 0.0; 0.322; 794.9091549801484;
1900; 2.065; 2.27; 0.001; 0.0; 0.3071; 833.7307504759775;
2000; 2.173; 2.254; 0.001; 0.0; 0.3011; 850.0845728762569;
2100; 2.063; 2.275; 0.001; 0.0; 0.3; 853.4664107241504;
2200; 2.185; 2.239; 0.001; 0.0; 0.3026; 845.9062740528732;
2300; 2.054; 2.236; 0.001; 0.0; 0.3008; 851.0278386304193;
2400; 1.984; 2.253; 0.001; 0.0; 0.3045; 840.7709264485252;
2500; 1.883; 2.267; 0.001; 0.0; 0.3038; 842.5826455295501;
2600; 2.032; 2.251; 0.001; 0.0; 0.3052; 838.7690596341025;
2700; 2.171; 2.258; 0.001; 0.0; 0.3003; 852.616569354484;
2800; 2.071; 2.225; 0.001; 0.0; 0.3067; 834.7924909697895;
2900; 1.943; 2.206; 0.001; 0.0; 0.3033; 844.0258425191032;
3000; 2.211; 2.205; 0.001; 0.0; 0.305; 839.3099619718365;
3100; 2.237; 2.204; 0.001; 0.0; 0.3144; 814.153777095699;
3200; 1.926; 2.27; 0.001; 0.0; 0.3037; 842.8438958798258;
3300; 1.992; 2.217; 0.001; 0.0; 0.3141; 815.0430763508564;
3400; 1.85; 2.16; 0.001; 0.0; 0.3031; 844.6918131728086;
3500; 2.09; 2.176; 0.001; 0.0; 0.3074; 832.6884965195488;
3600; 1.71; 2.184; 0.001; 0.0; 0.3119; 820.6952241479992;
3700; 1.72; 2.161; 0.001; 0.0; 0.3005; 851.9387250059706;
3800; 2.4; 2.197; 0.001; 0.0; 0.3085; 829.9075242172531;
3900; 2.202; 2.074; 0.001; 0.0; 0.3023; 846.9518367656013;
4000; 2.039; 2.106; 0.001; 0.0; 0.3308; 773.840095131707;
4100; 1.914; 2.122; 0.001; 0.0; 0.3045; 840.8479602184851;
4200; 2.089; 2.143; 0.001; 0.0; 0.3685; 694.7091865354467;
4300; 1.937; 2.163; 0.001; 0.0; 0.322; 794.9291639613574;
4400; 1.754; 2.186; 0.001; 0.0; 0.3044; 841.1120890759173;
4500; 2.003; 2.175; 0.001; 0.0; 0.3476; 736.3959114027532;
4600; 2.052; 2.189; 0.001; 0.0; 0.3044; 841.0429121180814;
4700; 1.887; 2.192; 0.001; 0.0; 0.3225; 793.6864022281784;
4800; 1.861; 2.162; 0.001; 0.0; 0.301; 850.5195626929773;
4900; 1.877; 2.181; 0.001; 0.0; 0.3371; 759.449658448398;
5000; 2.057; 2.156; 0.001; 0.0; 0.3087; 829.318454532535;
5100; 2.117; 2.162; 0.001; 0.0; 0.321; 797.5673723938197;
5200; 1.882; 2.153; 0.001; 0.0; 0.3109; 823.3824956175397;
5300; 1.838; 2.199; 0.001; 0.0; 0.3042; 841.5689425581226;
5400; 2.081; 2.188; 0.001; 0.0; 0.3018; 848.1768297258719;
5500; 1.971; 2.184; 0.001; 0.0; 0.3141; 815.030084422199;
5600; 1.648; 2.21; 0.001; 0.0; 0.3375; 758.5375947870144;
5700; 1.945; 2.115; 0.001; 0.0; 0.3036; 843.2840885708317;
5800; 1.843; 2.123; 0.001; 0.0; 0.3017; 848.466367287787;
5900; 1.869; 2.135; 0.001; 0.0; 0.3034; 843.7273932377141;
6000; 1.828; 2.127; 0.001; 0.0; 0.3041; 841.696264290328;
6100; 2.013; 2.168; 0.001; 0.0; 0.3526; 726.0496942960966;
6200; 1.798; 2.142; 0.001; 0.0; 0.3044; 841.0020701144555;
6300; 1.932; 2.162; 0.001; 0.0; 0.3123; 819.7128208260173;
6400; 1.926; 2.173; 0.001; 0.0; 0.3042; 841.5854328388157;
6500; 1.963; 2.176; 0.001; 0.0; 0.3028; 845.330883331247;
6600; 2.001; 2.172; 0.001; 0.0; 0.3061; 836.2032415728762;
6700; 2.184; 2.161; 0.001; 0.0; 0.3024; 846.5184855816799;
6800; 2.213; 2.122; 0.001; 0.0; 0.3045; 840.7360354540792;
6900; 1.959; 2.144; 0.001; 0.0; 0.3045; 840.5991327377789;
7000; 1.978; 2.125; 0.001; 0.0; 0.3059; 836.9971734809213;
7100; 1.677; 2.135; 0.001; 0.0; 0.3214; 796.5083360471076;
7200; 1.87; 2.165; 0.001; 0.0; 0.3041; 841.733874451154;
7300; 1.891; 2.078; 0.001; 0.0; 0.304; 842.1914038172837;
7400; 1.704; 2.082; 0.001; 0.0; 0.3024; 846.5878987666333;
7500; 1.94; 2.117; 0.001; 0.0; 0.314; 815.1810638165417;
7600; 1.983; 2.073; 0.001; 0.0; 0.3035; 843.4132548262457;
7700; 1.964; 2.093; 0.001; 0.0; 0.3082; 830.5571748696818;
