Step,Train_Loss,Val_Loss
0,11.045504570007324,11.047575950622559
200,6.353957653045654,6.478542327880859
400,6.0222859382629395,6.079120635986328
600,5.739566802978516,5.917276382446289
800,5.507404804229736,5.772464752197266
1000,5.381123065948486,5.660877704620361
1200,5.224343776702881,5.552858829498291
1400,5.153014659881592,5.477603912353516
1600,4.990809440612793,5.38642692565918
1800,4.953512668609619,5.330873966217041
2000,4.882972240447998,5.304543495178223
2200,4.780442714691162,5.281560897827148
2400,4.801196098327637,5.185618877410889
2600,4.749455451965332,5.217316150665283
2800,4.652995586395264,5.190263271331787
3000,4.652984619140625,5.185861587524414
3200,4.621056079864502,5.140284538269043
3400,4.591428756713867,5.0956244468688965
3600,4.563945770263672,5.100752353668213
3800,4.509392738342285,5.09819221496582
4000,4.488419055938721,5.068132400512695
4200,4.449754238128662,5.039032459259033
4400,4.495019435882568,5.107538223266602
4600,4.425664901733398,5.047142505645752
4800,4.407405376434326,5.059312343597412
5000,4.366443634033203,5.083470821380615
5200,4.344751834869385,5.04538106918335
5400,4.34064245223999,5.062646389007568
5600,4.327159881591797,5.078951835632324
5800,4.300465106964111,5.037583827972412
6000,4.3069868087768555,5.0280961990356445
6200,4.300365447998047,5.059841632843018
6400,4.286644458770752,5.012834072113037
6600,4.258485317230225,5.0115437507629395
6800,4.243600368499756,5.033730983734131
7000,4.233519077301025,5.022953987121582
7200,4.237692356109619,5.0004377365112305
7400,4.2147393226623535,5.006313323974609
7600,4.197195529937744,4.991419315338135
7800,4.1932878494262695,5.033481597900391
8000,4.1680755615234375,5.008551120758057
8200,4.148591995239258,5.039706230163574
8400,4.139837265014648,5.001436233520508
8600,4.162066459655762,5.017064094543457
8800,4.125112533569336,5.027334213256836
9000,4.132287502288818,4.9962334632873535
9200,4.108860969543457,5.021203994750977
9400,4.115984916687012,5.016069412231445
9600,4.073845863342285,5.003889560699463
9800,4.107844352722168,5.009247303009033
10000,4.087575912475586,5.014497756958008
10200,4.084828853607178,5.042852878570557
10400,4.0234293937683105,4.989797592163086
10600,4.059952259063721,4.990688323974609
10800,4.0560102462768555,5.06044340133667
11000,4.063522815704346,5.117575645446777
11200,4.025293350219727,5.068349838256836
11400,4.035134792327881,5.003961563110352
11600,4.023004531860352,5.078073024749756
11800,4.048044204711914,5.097722053527832
12000,4.0256524085998535,5.007241725921631
12200,3.9589428901672363,5.059536933898926
12400,4.013847351074219,5.072108268737793
12600,3.9856345653533936,5.110366344451904
12800,3.970816135406494,5.092789173126221
13000,3.9935977458953857,5.089975357055664
13200,3.96724271774292,5.122763156890869
13400,3.960348129272461,5.122555732727051
13600,3.963001012802124,5.048242092132568
13800,3.958144187927246,5.096410751342773
14000,3.953387975692749,5.099244594573975
14200,3.965682029724121,5.027266979217529
14400,3.9644482135772705,5.0156168937683105
14600,3.9439334869384766,5.088190078735352
14800,3.9372599124908447,5.0584025382995605
15000,3.936643600463867,5.102616786956787
15200,3.9237656593322754,5.1035871505737305
15400,3.890354633331299,5.064544200897217
15600,3.922499418258667,5.113720893859863
15800,3.9208621978759766,5.062997341156006
16000,3.8938169479370117,5.061723709106445
16200,3.9082016944885254,5.1182780265808105
16400,3.907322406768799,5.1043009757995605
16600,3.876957416534424,5.112569808959961
16800,3.9050393104553223,5.111911773681641
17000,3.88820219039917,5.092416763305664
17200,3.8625214099884033,5.117861747741699
17400,3.867435932159424,5.131353855133057
17600,3.865779399871826,5.173372745513916
17800,3.8795506954193115,5.115516185760498
18000,3.869844913482666,5.090651988983154
18200,3.8864986896514893,5.103358268737793
18400,3.8453028202056885,5.126922607421875
18600,3.869144916534424,5.111301898956299
18800,3.8451485633850098,5.096739292144775
19000,3.878385066986084,5.139167308807373
19200,3.8334217071533203,5.118838310241699
19400,3.801889657974243,5.087777137756348
19600,3.834656000137329,5.1936211585998535
19800,3.8561055660247803,5.097265720367432
19999,3.8469772338867188,5.156062126159668
