Step,Train_Loss,Val_Loss
0,4.30880880355835,4.307474136352539
200,2.6629559993743896,2.687197208404541
400,2.475344181060791,2.4648876190185547
600,2.391066312789917,2.3797576427459717
800,2.3104043006896973,2.315556526184082
1000,2.262507677078247,2.2810373306274414
1200,2.2445266246795654,2.2592930793762207
1400,2.2038145065307617,2.231921434402466
1600,2.1732401847839355,2.211765766143799
1800,2.157104730606079,2.1975553035736084
2000,2.160554885864258,2.1618378162384033
2200,2.141953229904175,2.1809754371643066
2400,2.1116039752960205,2.156254768371582
2600,2.0990185737609863,2.147507429122925
2800,2.088559865951538,2.129836320877075
3000,2.0722403526306152,2.1227121353149414
3200,2.07069730758667,2.1307153701782227
3400,2.054727554321289,2.0912773609161377
3600,2.046405553817749,2.109687089920044
3800,2.0402188301086426,2.106410026550293
4000,2.029981851577759,2.0949440002441406
4200,2.023421287536621,2.096226930618286
4400,2.0269217491149902,2.0867815017700195
4600,2.0094683170318604,2.0979723930358887
4800,2.0105576515197754,2.0821142196655273
5000,1.9815881252288818,2.0596842765808105
5200,1.973059892654419,2.079195022583008
5400,1.9894212484359741,2.076017379760742
5600,1.9903918504714966,2.0715432167053223
5800,1.9699281454086304,2.059156894683838
6000,1.9722498655319214,2.04634165763855
6200,1.962589144706726,2.0584747791290283
6400,1.9619860649108887,2.059108018875122
6600,1.9460467100143433,2.0415282249450684
6800,1.9602060317993164,2.06181263923645
7000,1.9485182762145996,2.053712844848633
7200,1.9353748559951782,2.0522377490997314
7400,1.9395745992660522,2.0424301624298096
7600,1.9365906715393066,2.063835382461548
7800,1.9360634088516235,2.034122943878174
8000,1.922646164894104,2.0337846279144287
8200,1.937441349029541,2.0509767532348633
8400,1.9138270616531372,2.0182595252990723
8600,1.9179470539093018,2.028876543045044
8800,1.909454345703125,2.0424904823303223
9000,1.912816047668457,2.0597734451293945
9200,1.9208686351776123,2.027719497680664
9400,1.9120594263076782,2.019674777984619
9600,1.9044480323791504,2.0128109455108643
9800,1.9051873683929443,2.0217223167419434
10000,1.8993771076202393,2.011441230773926
10200,1.9034521579742432,2.0322093963623047
10400,1.8911114931106567,2.0247840881347656
10600,1.9004566669464111,2.011394739151001
10800,1.8977793455123901,2.035518169403076
11000,1.8831017017364502,2.004635810852051
11200,1.8920270204544067,2.022418737411499
11400,1.8928533792495728,2.007286787033081
11600,1.8823094367980957,2.0030601024627686
11800,1.9003994464874268,2.000000476837158
12000,1.8851591348648071,2.0106494426727295
12200,1.8874245882034302,2.0048410892486572
12400,1.8687893152236938,1.9980398416519165
12600,1.8785840272903442,2.000527858734131
12800,1.8680325746536255,2.002502202987671
13000,1.863566279411316,1.9987863302230835
13200,1.8767914772033691,1.9944912195205688
13400,1.8657629489898682,1.9982510805130005
13600,1.8783513307571411,2.009620189666748
13800,1.8614355325698853,2.0035362243652344
14000,1.878828525543213,2.005730390548706
14200,1.856144905090332,1.9957835674285889
14400,1.875636339187622,1.9990289211273193
14600,1.8554596900939941,1.9970861673355103
14800,1.8593767881393433,1.9870786666870117
15000,1.8644648790359497,2.0034852027893066
15200,1.867303490638733,1.9817248582839966
15400,1.8466062545776367,1.9764595031738281
15600,1.8739467859268188,2.0033743381500244
15800,1.8712238073349,1.9712927341461182
16000,1.8682777881622314,1.9994014501571655
16200,1.8486523628234863,1.9731487035751343
16400,1.8409298658370972,1.9958605766296387
16600,1.8452162742614746,1.9807095527648926
16800,1.8516954183578491,1.9882718324661255
17000,1.847935438156128,1.988415241241455
17200,1.8514844179153442,1.9866911172866821
17400,1.859828233718872,1.9824554920196533
17600,1.858547329902649,1.9829035997390747
17800,1.853122591972351,1.9871015548706055
18000,1.8485581874847412,1.9797595739364624
18200,1.8451019525527954,1.9864327907562256
18400,1.8618438243865967,1.9802491664886475
18600,1.8340274095535278,1.969946265220642
18800,1.8460849523544312,1.9877465963363647
19000,1.8281090259552002,1.9838950634002686
19200,1.8335809707641602,1.9802294969558716
19400,1.83734929561615,1.981919527053833
19600,1.8316411972045898,1.9844833612442017
19800,1.8341182470321655,1.968129277229309
19999,1.8272383213043213,1.9797130823135376
